#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 274971:5013 | 06/12/16 13:33:30 | 905  | 905  | 0.101          | 0.098         |
| 274998:5017 | 06/13/16 04:19:54 | 719  | 719  | 0.119          | 0.113         |
| 274999:5017 | 06/13/16 09:04:45 | 1241 | 1241 | 0.168          | 0.163         |
| 275000:5017 | 06/13/16 17:15:35 | 136  | 136  | 0.016          | 0.016         |
| 275001:5017 | 06/13/16 18:12:42 | 2057 | 2057 | 0.204          | 0.198         |
| 275059:5020 | 06/14/16 16:49:52 | 37   | 37   | 0.007          | 0.006         |
| 275066:5020 | 06/14/16 17:45:35 | 96   | 96   | 0.019          | 0.018         |
| 275067:5020 | 06/14/16 18:28:40 | 392  | 392  | 0.073          | 0.071         |
| 275068:5020 | 06/14/16 21:05:49 | 915  | 915  | 0.152          | 0.146         |
| 275073:5020 | 06/15/16 03:32:47 | 517  | 517  | 0.072          | 0.070         |
| 275074:5020 | 06/15/16 06:56:59 | 646  | 646  | 0.080          | 0.078         |
| 275124:5021 | 06/15/16 17:50:26 | 325  | 325  | 0.058          | 0.056         |
| 275125:5021 | 06/15/16 20:00:21 | 989  | 989  | 0.156          | 0.149         |
| 275282:5024 | 06/17/16 00:06:15 | 90   | 90   | 0.016          | 0.015         |
| 275283:5024 | 06/17/16 00:43:11 | 132  | 132  | 0.023          | 0.022         |
| 275284:5024 | 06/17/16 01:36:53 | 74   | 74   | 0.013          | 0.012         |
| 275290:5024 | 06/17/16 03:58:56 | 48   | 48   | 0.008          | 0.003         |
| 275291:5024 | 06/17/16 04:28:35 | 347  | 347  | 0.053          | 0.051         |
| 275292:5024 | 06/17/16 06:46:47 | 121  | 121  | 0.016          | 0.016         |
| 275293:5024 | 06/17/16 07:37:27 | 200  | 200  | 0.026          | 0.025         |
| 275309:5026 | 06/17/16 13:48:15 | 563  | 563  | 0.085          | 0.082         |
| 275310:5026 | 06/17/16 17:32:53 | 1929 | 1929 | 0.229          | 0.222         |
| 275311:5026 | 06/18/16 06:07:07 | 1253 | 1253 | 0.110          | 0.108         |
| 275319:5027 | 06/18/16 18:56:15 | 142  | 142  | 0.026          | 0.024         |
| 275337:5027 | 06/18/16 21:26:04 | 427  | 427  | 0.071          | 0.068         |
| 275338:5027 | 06/19/16 00:15:37 | 520  | 520  | 0.077          | 0.075         |
| 275344:5028 | 06/19/16 08:18:25 | 281  | 281  | 0.052          | 0.050         |
| 275345:5028 | 06/19/16 10:12:11 | 353  | 353  | 0.062          | 0.059         |
| 275370:5029 | 06/19/16 16:19:29 | 285  | 285  | 0.054          | 0.051         |
| 275371:5029 | 06/19/16 18:16:49 | 564  | 564  | 0.098          | 0.094         |
| 275375:5030 | 06/20/16 02:17:12 | 1323 | 1323 | 0.213          | 0.205         |
| 275376:5030 | 06/20/16 10:55:04 | 3095 | 3095 | 0.332          | 0.324         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 34    | 102  | 52291 | 52286 | 5.988             | 5.748            |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
