#Data tag : v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 283934:5446 | 10/24/16 19:33:15 | 1258 | 1258 | 0.278          | 0.268         |
| 283946:5448 | 10/25/16 07:30:41 | 1377 | 1377 | 0.309          | 0.298         |
| 283964:5448 | 10/25/16 16:29:30 | 388  | 388  | 0.060          | 0.059         |
| 284006:5450 | 10/26/16 01:53:26 | 318  | 318  | 0.059          | 0.057         |
| 284014:5450 | 10/26/16 03:59:16 | 266  | 266  | 0.049          | 0.048         |
| 284025:5451 | 10/26/16 08:56:43 | 48   | 48   | 0.012          | 0.012         |
| 284029:5451 | 10/26/16 09:19:00 | 112  | 112  | 0.031          | 0.030         |
| 284035:5451 | 10/26/16 10:04:52 | 360  | 360  | 0.090          | 0.087         |
| 284036:5451 | 10/26/16 12:28:09 | 346  | 346  | 0.074          | 0.071         |
| 284037:5451 | 10/26/16 14:48:03 | 340  | 340  | 0.064          | 0.062         |
| 284038:5451 | 10/26/16 17:02:16 | 55   | 55   | 0.010          | 0.009         |
| 284039:5451 | 10/26/16 17:27:02 | 30   | 30   | 0.005          | 0.005         |
| 284040:5451 | 10/26/16 17:42:18 | 33   | 33   | 0.006          | 0.005         |
| 284041:5451 | 10/26/16 17:59:11 | 44   | 44   | 0.007          | 0.007         |
| 284042:5451 | 10/26/16 18:23:53 | 129  | 129  | 0.021          | 0.020         |
| 284043:5451 | 10/26/16 19:17:23 | 220  | 220  | 0.032          | 0.032         |
| 284044:5451 | 10/26/16 20:46:05 | 30   | 30   | 0.004          | 0.004         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 32    | 86   | 47447 | 47447 | 8.938             | 8.606            |
+-------+------+-------+-------+-------------------+------------------+

#Check JSON:
#(run,ls) in json but not in results: []
