0.0	1.000000	0.0000000	0.0000000	0.0	0.0	0.0
1.0	1.05571		0.04438664	0.04438664	0.0     0.0     0.0
2.0	1.031003	0.0306436	0.0306436       0.0     0.0     0.0
3.0	0.9910463	0.03981663	0.03981663      0.0     0.0     0.0
4.0	1.164071	0.08199571	0.08199571      0.0     0.0     0.0
5.0	1.642254	0.2438049	0.2438049       0.0     0.0     0.0
6.0	1.461241	0.3647844	0.3647844       0.0     0.0     0.0
7.0	3.589121	2.511977	2.511977        0.0     0.0     0.0
8.0	1.000000	0.0000000	0.0000000       0.0     0.0     0.0
9.0	1.000000	0.0000000	0.0000000       0.0     0.0     0.0
10.0	1.000000	0.0000000	0.0000000       0.0     0.0     0.0
11.0	1.000000	0.0000000	0.0000000       0.0     0.0     0.0
