0.0	0.8	0.0	0.8	0.968	0.  0.
0.0	0.8	0.8	1.4	0.969	0.  0.
0.0	0.8	1.4	1.6	0.972	0.  0.
0.0	0.8	1.6	2.0	0.970	0.  0.
0.0	0.8	2.0	2.5	0.965	0.  0.
0.8	1.4	0.0	0.8	0.970	0.  0.
0.8	1.4	0.8	1.4	0.971	0.  0.
0.8	1.4	1.4	1.6	0.973	0.  0.
0.8	1.4	1.6	2.0	0.973	0.  0.
0.8	1.4	2.0	2.5	0.969	0.  0.
1.4	1.6	0.0	0.8	0.973	0.  0.
1.4	1.6	0.8	1.4	0.975	0.  0.
1.4	1.6	1.4	1.6	0.986	0.  0.
1.4	1.6	1.6	2.0	0.977	0.  0.
1.4	1.6	2.0	2.5	0.978	0.  0.
1.6	2.0	0.0	0.8	0.971	0.  0.
1.6	2.0	0.8	1.4	0.976	0.  0.
1.6	2.0	1.4	1.6	0.985	0.  0.
1.6	2.0	1.6	2.0	0.978	0.  0.
1.6	2.0	2.0	2.5	0.974	0.  0.
2.0	2.5	0.0	0.8	0.965	0.  0.
2.0	2.5	0.8	1.4	0.970	0.  0.
2.0	2.5	1.4	1.6	0.979	0.  0.
2.0	2.5	1.6	2.0	0.975	0.  0.
2.0	2.5	2.0	2.5	0.969	0.  0.
